342,2025-05-11,passanger,05:30,90
855,2025-04-28,fast,20:45,300
268,2025-05-09,tovar,07:30,300
596,2025-05-14,fast,01:15,630
204,2025-04-30,passanger,16:15,120
339,2025-05-18,passanger,13:00,510
828,2025-05-14,tovar,16:15,450
525,2025-05-12,passanger,11:15,780
181,2025-04-23,tovar,10:00,165
218,2025-05-02,fast,10:00,135
100,2025-05-07,passanger,12:15,390
786,2025-04-14,tovar,07:45,270
995,2025-04-08,fast,18:45,60
276,2025-04-02,passanger,02:30,810
307,2025-04-30,fast,20:00,675
804,2025-05-29,passanger,12:00,735
124,2025-05-14,tovar,11:45,825
435,2025-04-15,fast,22:00,270
227,2025-04-16,tovar,13:00,420
234,2025-05-14,passanger,05:30,690
156,2025-04-22,fast,05:15,660
478,2025-04-06,fast,18:00,765
70,2025-05-06,fast,13:45,645
715,2025-04-25,passanger,13:15,330
507,2025-05-08,passanger,02:30,525
3,2025-04-13,tovar,11:15,810
337,2025-04-14,tovar,16:00,675
441,2025-05-01,passanger,05:30,525
1,2025-05-18,passanger,08:15,630
721,2025-04-05,tovar,22:15,390
166,2025-05-31,passanger,17:30,915
580,2025-05-02,fast,08:00,645
883,2025-05-29,passanger,14:15,225
412,2025-05-19,passanger,01:15,690
151,2025-04-16,tovar,00:00,945
848,2025-04-17,passanger,16:15,120
9,2025-05-19,passanger,16:30,690
505,2025-04-07,fast,21:45,900
430,2025-04-30,fast,14:00,870
431,2025-05-24,tovar,15:45,330
74,2025-05-28,fast,12:00,675
806,2025-05-06,fast,09:30,90
191,2025-04-10,passanger,03:45,810
325,2025-04-14,tovar,09:15,105
651,2025-05-20,fast,17:45,480
447,2025-04-30,fast,09:00,735
528,2025-05-03,passanger,01:00,870
105,2025-05-16,fast,17:00,570
114,2025-04-21,fast,15:30,300
150,2025-04-24,tovar,10:00,360
951,2025-05-18,fast,23:45,510
970,2025-05-29,fast,00:00,315
923,2025-04-21,tovar,04:45,600
716,2025-04-13,tovar,07:00,630
545,2025-04-27,fast,08:15,720
98,2025-04-01,passanger,01:30,870
885,2025-05-31,passanger,03:15,405
746,2025-05-10,tovar,06:45,705
210,2025-05-25,tovar,00:45,495
541,2025-05-18,tovar,12:30,930
614,2025-05-14,tovar,23:15,225
101,2025-05-09,fast,00:30,270
430,2025-05-12,passanger,04:45,705
564,2025-04-27,tovar,07:00,225
983,2025-05-24,tovar,11:45,840
288,2025-04-27,fast,22:00,780
452,2025-04-21,fast,21:30,75
330,2025-05-26,fast,08:45,375
407,2025-05-17,fast,05:15,420
368,2025-05-31,passanger,00:45,885
103,2025-05-18,fast,02:00,870
287,2025-04-07,fast,03:30,765
878,2025-05-17,fast,15:30,870
478,2025-05-30,tovar,14:45,255
82,2025-04-03,passanger,08:45,465
736,2025-04-29,fast,16:30,705
773,2025-05-02,tovar,01:00,420
6,2025-04-08,tovar,19:00,705
250,2025-04-18,tovar,17:45,345
833,2025-04-06,fast,20:30,570
578,2025-04-09,fast,19:15,765
528,2025-04-26,tovar,18:15,720
32,2025-05-09,tovar,20:15,285
974,2025-05-19,tovar,16:15,840
293,2025-05-08,tovar,22:45,405
199,2025-05-26,fast,01:00,765
92,2025-04-11,tovar,14:45,645
212,2025-05-16,fast,18:15,375
960,2025-05-12,passanger,23:45,420
661,2025-04-10,fast,11:45,210
450,2025-05-08,passanger,22:15,345
871,2025-04-21,passanger,01:00,615
202,2025-05-03,passanger,10:00,225
506,2025-04-19,tovar,10:30,210
653,2025-05-02,fast,23:15,630
234,2025-05-11,passanger,00:30,510
931,2025-05-20,passanger,08:00,885
962,2025-04-15,tovar,06:45,450
428,2025-05-22,tovar,16:15,345
574,2025-04-02,passanger,02:00,735
13,2025-04-01,fast,14:00,270
220,2025-04-13,fast,05:30,750
716,2025-05-09,fast,03:00,120
453,2025-05-23,fast,23:45,375
560,2025-04-14,fast,01:45,690
450,2025-04-25,tovar,18:00,930
217,2025-05-23,tovar,00:45,345
60,2025-04-26,passanger,16:45,255
302,2025-04-30,passanger,13:30,525
206,2025-04-17,fast,01:45,120
511,2025-04-18,passanger,15:30,60
846,2025-05-29,fast,00:00,480
21,2025-05-05,passanger,08:15,930
482,2025-04-18,tovar,19:15,480
178,2025-05-03,fast,17:00,615
367,2025-04-20,tovar,15:45,870
4,2025-04-13,passanger,20:45,795
909,2025-04-23,fast,16:00,120
904,2025-05-13,tovar,15:15,630
76,2025-05-26,fast,20:00,855
554,2025-05-20,passanger,07:45,690
732,2025-05-22,passanger,16:00,270
793,2025-04-06,fast,13:30,735
492,2025-04-17,tovar,05:45,945
827,2025-05-28,tovar,19:30,885
935,2025-04-03,passanger,21:15,600
490,2025-04-04,tovar,15:15,795
512,2025-04-09,passanger,02:30,510
354,2025-04-18,tovar,17:30,435
521,2025-04-17,tovar,04:00,720
85,2025-05-11,passanger,23:00,345
141,2025-05-16,passanger,08:45,690
383,2025-05-18,fast,23:45,330
369,2025-04-13,tovar,19:00,495
884,2025-05-19,fast,17:45,930
426,2025-05-20,passanger,22:00,690
960,2025-05-04,tovar,22:30,900
327,2025-04-02,fast,12:00,540
592,2025-04-01,fast,05:15,585
500,2025-05-05,passanger,19:45,600
385,2025-05-13,passanger,04:30,855
827,2025-04-03,tovar,11:00,810
329,2025-04-27,fast,04:45,405
663,2025-04-25,tovar,10:15,60
625,2025-05-23,tovar,03:30,330
513,2025-04-09,passanger,19:15,885
270,2025-04-01,passanger,20:15,615
484,2025-05-27,fast,10:45,450
105,2025-05-11,passanger,01:00,105
586,2025-04-12,tovar,09:45,705
325,2025-05-20,fast,22:00,90
341,2025-05-07,tovar,13:30,435
50,2025-04-08,passanger,09:00,195
238,2025-04-10,passanger,18:30,495
332,2025-04-28,passanger,23:45,270
422,2025-05-08,fast,10:30,765
129,2025-04-20,passanger,07:15,795
300,2025-04-05,fast,11:00,285
121,2025-05-21,fast,01:00,165
966,2025-04-30,tovar,22:00,120
18,2025-05-04,fast,02:45,660
936,2025-04-01,tovar,18:00,840
